6a6bb6a8378aee900dbc832189483535_0_3 8,7,14,3,29,31
1e4e98fa7bdf88cdbf21575cd7d165f4_0_3 31,14,8,29
e279e0566ded2c53cd66c34c5f212a5c_0_0 14,3,31,16,20,11
c2b97807ad542567ea240c424a6a27ea_0_2 29,3
e7a98b9427ba5b99f7979123b4e85e51_0_6 28,9
610a26c18e94595ef4b934b668256145_0_2 29,8,14,31
6f12b44efa5c9caa0d32076e1a2fad4c_0_86 8,29
c16d5d104d521e6e9676b613c242f4c4_0_8 3,16
141e214ecf2a17992324ce713e3dd5d1_0_10 9,29,21,6,14,30,10,8,24,2
69e283eec2f85eb53d528dcfb2172ab9_0_2 30,8
0e35576edfd6710c00150a40890a8312_0_13 11,8,20,18
db0d6bd72d3805d338b860b8aad4f4c6_0_6 9
81fe1e708dda945189a9f56655de7d48_0_0 14,31,3
34e64a084cfb85e10df1af174ed3acd1_0_2 3,16
11232a113dcd5356467f913d74b08213_0_0 9
97256ea0684f0a8fd91a64f3f628de94_0_1 14,8,26,0,9,28,31,29
cb39ee4440757cec80b25e2f8a8f9550_0_24 3,16
749a266a106f5415e2d5f24a19fb9687_0_57 8,30
ca7f65b26c7f0936b936f1fa00532332_1_1 16,3,7
1962cdc27bde1a5571bb81ebeb3584f5_0_2 31,8,26,14,0,29
8a7863d451a46f05f418e641437944d9_0_1 20,8,22,11
e45cd38f299718525151cbcffb45b005_0_0 29,8,14,31,18
e07c5e974c518fb87986b5f8e4b3c524_0_7 19,6,8,18
46780b3ffe2db7a657e8ab2b517e25fa_1_2 9,23
3ff1bd32bdd39e6e7690f6e06bb861f7_0_13 11,22,20,18,8
38b86f1f418901d3787afff6d19d5a6a_0_18 13,28,9
49851349cdb035c3be8b34369f59d73e_0_6 29,3
923d3389b165cf3eef560054bec97369_0_0 18,8
22db3ed8e60278671238810e8cdfc302_0_24 30,11,20,22,18,8,9
79a8fac24a1f7ad0baa0e145478279b3_0_0 8,20,11,18,15,22
014d4489d6a284ad8db13710a9fa3c9e_0_1 29,7,8
4ad07ab0320637642a8c5f386ade217c_0_5 3,16
f6287d898b26dac1cdb3b9744073748b_0_1 17,26,9,0
ce5d77fc22a3693cb7e8d9a4ad9b2b9a_0_6 9,26,0
94d58fdfaadd54718c63a035fc9e73e4_0_15 14,22,20,29,7,8,18,16,3
c6d709563fa0ea5912a627b7e63e8be3_0_0 8,29,11,18,3,6,14,16,22,20
a68a8c9abf3b0d48b047ee7acd371f08_0_16 3,29,7
660b9f4c4567069cdc44f1c42290000f_0_5 8,31,14,18,29
2aa92d799cb2d60ba2f94e9aed88b11b_0_0 28,26,0,9
a5e78db96b0f1c30f20c0fbdacbd81d7_0_8 3,8,29
e0c784232e70a18971f141cdb3ed71ae_0_0 20,29,8,11
6a59716bb1493e8bf5248a7e0ed1b9c2_0_5 2,8,20,21,11,22
565f23fa391ea5faf61d376dfeb66910_0_0 11,22,8,20
f93cf0ab1b8830a4f171e7d5de7705d0_0_69 27,31,29,6,8,3,14
35f3c210a633683889791cae5f0ef9b4_0_31 16,3,22,8
cab82e2374edfd02b9c57037624de824_0_142 8,11,20,29
8a78955475c0e072231133788ad9d0a4_0_0 3,16
f2df2c47f33b38ca75530f770709f470_0_1 9,26,0
66ee45b44c0e015ac47a44e2ed63442c_0_4 18,8,30
6816830b8a41d6db0fbe0f10fce5d8da_0_32 0,1,26,25,9
8da73f78b8acdb1fa8d69b24dfd30059_0_3 27,3,29,4
0a9acfadb8d94e8e5960164a3c4572db_0_13 15,20,11,16,3
3af8fc39f45c20e17f7dbc6a80cdafde_0_6 0,26,9,25
0dae3988df9c7581f585e6cb5ab4f6b3_0_4 9,26,0
2770259f8d53846438b9c05f3b3fa74c_0_2 29,3,8
222647c0bf3aef08f1cec9bea4f65be7_1_0 8,14,31,29
1f5967fae8fd078f34fdf11a8a683b39_0_11 29,8,21,3,18,30,2
74059ee8687ddafbeb12cc347f2256a4_0_2 3,8,29
cc096aad648fbfef0984b69ce423fe58_0_114 26,30,9,8,1,18
2ff3087dacfdd94904d7e07d12a37209_0_9 9,8
a57b14a0b55d1859435bd22b711a3408_0_0 20,22,11,30,8
5e99f36724f1dcf62b6bd9bf283cc317_0_0 9,8,29
881fa9cf47ed34db1cc3f982988c6b47_0_3 25,0,26
60ac60d4b5d4829b144ae4f2fe509483_0_1 30,11,22,18,20,8
89f6e4d9ad421af6386734bb917df319_0_3 26,0,28,9
b7cc377dce93177dacb278ef011174ca_0_66 20,8,22,11
3389807fed6cc393df8ef657c5bf2f8e_0_1 14,31,29,8
3b1268fd6e52d13f6adb177011e668cb_0_183 25,9,18,8
a0cec6d450064575e4fec466b4291bb2_0_6 0,28,9,25,26
8a7863d451a46f05f418e641437944d9_0_3 26,25,9,0
e705804dd4729bd9c3d88071b42beba4_0_62 29,3,7,8,11,22,18,20
5e58b2c667f3e906ff3eb31e66164866_0_4 16,7,3
dc3830791f1935d5ee99c97b819e5551_0_14 18,8
c4f68704b1e3890e69585510fe500cd2_0_1 0,18,14,25,8,17,9,31,26
7a32520ee541bd267d3ee55bc65b8d15_0_0 26,9,0
7bba113427b1bac6551d6074850504be_0_6 20,11
106b2fbac429c323430b0666d7a2dcb2_0_1 28,9
96571964ebb2826393ca8bf7ab1a115e_0_1 20,8,11,22
cd61050c999ca4a853ab0cc349483727_0_6 26,0,9
fa7f19d5dc2b0d4a404ec1cd40a32686_0_69 14,18,6,27,8
f1be6510836fb228d0bdb3a4d08351e4_0_1 29,8,9,7
1f17e58daa7ce3bf0831e3366242b78e_0_3 3,16
5e7056fcda7321b80c6f7ebb2fd71f28_0_4 8,30,9
f76b98bc353621c6b4a4efee783c2d0a_0_0 7,18,29,8,21,30,2,0,26
b101fee0d2ef8179e08d16b49a157e16_1_1 1,30,2,8,21,18,26
18dfa510cc6b7b965c7ddf0a087cd0eb_0_29 29,18,21,2,8
0f16ef6f58bafb68cdde30b3fad7ad84_0_4 14,8,29
9848b47312c473f2ae011f84e2e95e74_0_0 8,18,3,29
ba4078cdaa0ef788fb0eef7c021ed747_0_0 3,16
b1a58099fa1dc20707f99a298e4e79be_0_1 16,9,2,3,21,20,11
bae98e1764af923867c27836b0ccb1ab_0_0 9,0,17,26
ed72fdcc1552985f198ad93d3a00b72f_0_17 22,16,11,20,3,18,8
19f475356b0fda2b498ce9f095d0466e_1_25 10,29,18,8
4a391c3f852e7674e1a5d4d3e32f0eff_0_0 22,11,8,20,31,14
5d75c2af9f9d6c9540f0e2f0d52c1048_0_0 9,25
3f9e3ad165283d7a958405a93141677f_0_1 7,29,3,8
ce7374b13bb0f5c2efa697ab9092e641_0_2 9,25
dd62340c45a477ed5bfdb7fda83f9b90_0_1 8,18,29
07a6d74661c5e733fbafc9412942ac0b_0_15 16,3
b66603c61e2328dcaa235b50a339974c_0_1 2,21,8,29,3
cbf148c27d8df89060f7ebfcec2c60c6_0_0 
76350d61410d3e41aeaf63c321b89057_0_0 16,3,8,29
cd766eaa4486f72f5ee7bd5e3587a9a7_0_0 29,3
3629df0db4b30aa2b572eff415cf969b_0_51 3,14,16,21,2,31
5d4d001e526cd9f311f9466d9acac75e_0_4 26,5,0,9,25
a3710aa4d048592d5458d5a9d545956f_0_9 22,8,18
bdd468760508a60fe9a6eb8a4816472d_0_4 16,3
35c4336b0aefc0a6e9029bd3a5aad2f4_0_4 29,3
ff5655be9911fe5287a73a6d8aa5cbc7_0_92 9,8,29
0fdd628a8f7e8584578bbe2cc41ccb20_0_1 8,14,29
be83280b8b78c28ad81e51eace5eaf23_0_6 21,2,8,10,30
db252751b1bc6d1ee1244732a94213e8_0_0 14,29,31,8
c4134c3ee3fc81b5237e7a7718200113_0_1 9,5,23,17
30795e820fbfa6f9267357bd3f9caded_0_4 11,15,20
7787afa2a8b78cd8322c1f87b9b5c86f_0_26 25,9
bd10162c07c3767d5b1465ea4a97c78b_0_17 16,7,3
ac71978404f3d40709d8b2bc9efd2499_0_2 30,0,9,26
27b4f1dd1896c780c18c06a2618bc36e_0_0 25,20,3,11,2,21
69e283eec2f85eb53d528dcfb2172ab9_0_3 29,8,3,18,2,21
fb8e93c5288d61a0b276be98427c145f_0_5 29,3,16
1c2ef93a3045f7e6ab552e675613befc_0_6 16,3
a15eba8ea73e7cc4f4d785d54a4b4eff_0_0 2,8,7,21,29,3,18
e0d13287c4a06c6e4117ec0a20005b39_0_84 16,8
3634cfd5e69f50b194c1ca0889017fc1_0_13 29,3,8
923d3d5e271e4abc5c3fade04c20f5bb_0_9 7,29,31,3,14
d6b9cfd4ecb27ab78a934c779269b07c_0_3 11,20
43e493c166126f5193532f18d5e767ec_0_0 29,0,14,31,26,8,9
84c5fe90b78873702adf12add5bf7f14_0_15 27,6
bc78b36216961096ad906d3ffd67f8a6_0_5 20,18,11,8
6772cf6a6fa9c1331754ff25f19885cd_0_12 29,3
752fa00d518c59ea690b405a71a028e5_0_30 8,3,29,18
875260062e76650102489bcdff1fb3f6_0_3 22,31,29,14,8
60cbe36239bbeed210881bbfe969555b_0_0 11,22,5,9,8,20
fc2c9994eca624ba45dc49faa13c734b_0_5 22,20,11
42c045da3c5c1a1ea719c7b0c0c53695_0_0 16,29,3,8,18
8b4670a382325817d8a238da6c5db47e_0_34 29,14,31,8,30
f45c325110bbf77fad47f710f85c9bbd_0_61 3,21,16,2,9
0df8d098d48fcb263fb3602e8707a23e_0_10 26,0,9
61bb3fa4609d7d14594c8330a89ceeeb_0_1 18,8,29
64b3ef0c02a2bfd2a568afdbde2e2144_0_4 7,31,21,3,27,4,2,16,14
02cac7c79672dda92f08495e46430987_0_5 9,25
01399b966564a5e7c4a9cfaf2af02c73_0_2 6,22,18,24,29,8,11,20
8066e94a12c5a426b70ef10e9ef10146_0_0 3,16
56d9aae11428d1c3858deb24eb21abed_0_5 8,29,3,7
0c8b2208ca5b2c58f7e9e8a903e1a88a_0_0 8,3,16,18
decced662fddcba92f8de0a8c2c6b836_0_1 25,9
1f7190492b81a82b8ac7fe84835c7f00_0_4 25,26,0,9
e6329006f51c2b2a9cab16e18121d985_0_9 25,9,26,0
dbdac758dbc5952bc46a4ceea10faed8_0_1 8,20,11,16,29
f9ff815e4be4cbf201fe876f97b3d6c6_0_0 20,18,15,11,8,22
fd5687756bc134088744329e193a1c39_0_0 21,29,8,3,23,6,24,2,14,9
51f5b312ccb4961c24456520bdfcbcfe_0_0 8,7,9,25,29,11
cbacc35f04420c91d55de5c7b019af97_0_111 29,7,3
6730cdfbfced06e3c7f20869a72dd85d_0_0 31,14,8,29
052ac7d0b5d1e76b971ef0e78fc344da_0_32 8,9,2,29,21
d6f18e0eeca98dbefeb94a4735d47538_0_0 8,21,2,29
4b8d7186d4237037f67b6fbb89ef40f0_0_1 7,3,16
bde8cf3805f3fd977eced2a1079e1ecd_0_5 16,3
71c043724952cc088fb73735146838de_0_0 23,9
875260062e76650102489bcdff1fb3f6_0_2 20,18,2,3,21,11,22,16,8
6f4fc4b9ab768c11e633769ca1ca05fc_0_0 8,29
47f5c81b9c3fa9bd32adaca93ed85318_0_8 22,18,8,29
c19908fc4e53348d78f5cdbc8a4a3b0c_0_0 14,8,29
8ae327bdbd834b3a3466edbd8471c643_0_96 8,29,21,18,2
7f1fa3999a89ed84c387c00f1832aaf5_0_10 18,8
f9951695d747f3cec4f1ca9cf0712e2d_0_2 29,14,7,3
33fb11e7a127d71733c2f47e56b043ed_1_3 9,26,25,0
f938a6d22142a88d1ce157d040b585d7_0_0 18,8,30
40182f7015b61f03c647b59393669706_0_1 25,28,9
6aa4dcf0e9484060c9f37b87323e2294_0_2 16,3
1baabc2b0052c47a77e82042e4e8c504_0_6 3,31,29,14
295fb3cbaaa963b15a2a664b3c55fe32_0_6 31,8,14,29
dacd9c82a45862d4a77ce35ec910dbd9_0_0 18,8,11,22,20,30
106b2fbac429c323430b0666d7a2dcb2_0_0 20,15,11,14,31,8,29,22
b6a8179021e1ef0f7faae7d410e81b89_0_103 1,18,8,30,26
7e88cf2220db50fdc1ed5a11e4c6b31c_0_0 3,16
1b76ba0c4eef9a543252eb9cf4893f6a_0_50 16,3
a6aad5c82a84ddd084bd2fdbfca24bff_0_149 11,18,22,20,8
82d532721b29d588b8044a8f04a27927_0_0 3,31,16,14
078edc2b29d42e0c5de6afb4f6b4059a_0_3 0,26
634c1aafaf976435498259c80ae9b613_0_89 8,18,20
113035bb1c3072e8d610cc27a7e8bed2_0_6 8,3,29
a9de72ccae3c94da4fc1fd924e1f8e9e_0_0 8,14,31,29
6c876f25eba95c3f1093f45f500a4193_0_11 21,20,2,11,18,8,22
09f1392733b69200b0cad325eb300fe6_0_6 11,8,22,18,20
8781202cbfbfe4a370476cf8bc25f81f_0_0 9
836146745376468f73a8a9f6e30e1ee2_0_2 11,22,20,8
047b1efbf8bdf7cc15a0d3e656d29b97_0_26 29,3,8
9a34ff47c1648d7c7b70835ba2bbb014_1_1 3,16
ab9cf546e3649d4d6a2603328cf4d99e_0_5 3,16,14,29,31,8,18
4667e6e635fdd92bbbc578fdf7a4ec40_0_3 9
165a17414742577e4a0773da0be3cb42_0_105 14,9,25,29,31,3,7
4355d2110da63b192d08ad7a661e519f_0_8 8,29,11,22,20
22cd0d130c5946421f644601af702a61_0_0 3,7,29
2ed3f24566660afe07943664313f4a68_1_5 16,3
6d7d32ece44ca600f4c6ab2ca6090ad8_0_27 8,7,22,18
371aca58780980d1e859f799016abaa5_0_1 31,14,29,3
60dcddfefd0bbf96a253d8ab289dd3f3_0_0 16,3,29
0c7ac7eb41a37603097f3726f28534c8_0_2 26,9,25,0
5c0fe9297f44fc53290896f52aa04644_0_148 20,16,8,18,11,3
b39623c890a191e315b810d0d13c9d4a_0_209 16,3,14
3a20acb7df79f4ac37071aa6149e4d01_0_0 29,30,8,3
8e8a49e6b2a3213ac14004d61f10bb0a_0_5 0,9,25
f358f3e978bff99624cdd53f079d3896_0_10 31,8,14,3,29,18
2d88ac9f7553afe1da9c4d9633e848d5_0_3 31,29,14,3
9de3ceffc87fcef7bb9961d38d516fa4_0_7 16,3
a32030bd6270dd6f810c7041cb960a48_1_8 11,20
8d8d26bf809f22c381cc3b1200ca9cce_1_7 3,16
036490a241d44d69ae43d402374dc22a_0_4 30,8,18
64ed942398db85a119ed08f2b5dceb1d_0_3 5,20,8,22,11,18
e1cea952ed670de86311e9a54a42fe5c_0_7 29,18,8,3
efce853eee7256128e0fee895f857010_0_1 16,5,3
4a9b54f5f7abe2082537ccb8eb436140_0_1 25,9
ecca3ab3466b55242305ab667287b3e7_0_1 8,9,30
6443de46ec9a238c67e4aa26198e2459_0_3 16,3
3e077ec19621c08bde6f4a579f1c32a9_0_0 29,8,3
f660b515848a679b0ec26e1ebf61aa8b_0_0 33,5,31,18,8,29,14
1a85d23826e1b25b50dabacc128f504d_0_0 8,29,31,14
b98619fcc7a96469457da57a8d2ae6a5_0_36 8,22,18
c1e4e173193518779fe8a17f34cc9b93_0_3 14,31,3,16
963820469d0eddd4962c4be1692db3a5_0_14 8,29,3
741f57da6a0459c2ea0d563a10266faa_0_26 9
8de32c730450b1cc87722268634ace21_0_0 8
c58bf94e4027628849d90fefe6f6f2de_0_4 19,6,31,29,3,8,14,18
3ff50df352b34d68ac9db2ba42a80ddd_0_1 9,28
91ff24c6f646df750de1816097896f4c_0_10 9
c0e196f65ba82a53eb0cf6bc3740a03b_0_201 11,16,3,20
ac3a9bc74df3da5f3e999359e243e713_0_0 3,18,29,8
09e68fe26be8fe46f56685bcbf64dc69_0_0 11,8,20
99e28461fee5bb9f79ac51e260777cff_0_3 9
636158425f5bc6a8b7a8d560cc402571_0_3 8,29
a34eed1d077d714b07b7fc909d20c7b1_1_2 8,18
d65d0e4306dc887115d5c90bd85c80ee_0_0 29,3
5bdfe45729c9792989824439bc4a6732_0_1 8,11,21,2,18,20,22
dd068348f07c57eb5a35644537f9e026_0_38 31,14,29,8,18
c4a4a4647526835dc67c5d93a84904fb_0_0 0,26,9
c2523a2705d84ae7afd9f05739812033_1_5 6,27,29,8,7
3193579fb3ec70b3b872819a7f22d7b5_0_14 9,28
56ed41e66a80ed97c84104f928b9685e_0_5 28,0,25,9,26
6b31c0de8704d3ba91b405b3a42cdecc_0_4 3,16
b0bd2853b70a2b9eacd2150f5f56a806_0_4 8,18
37c6f5584f8c9808f661494c844014d5_1_5 22,8,18,1
0f29fa9403fe1d7fc2871730efc6fb99_0_10 29,3,8,7
3420e35ab5a20a8ec8dd991cc8d92354_0_4 18,10,29,8
a5fbbf15f80d731b80d9d970561b7f88_0_140 21,3,31,14,2,16,7
871a5eaa9390d06101de1a0379a55c02_0_3 25,17,0,9
e3fa1c9a92a287099dba0e90820ee622_0_20 3,16
5fa37e608277835d1fa3e198281000dc_0_2 7,29,3
972d93ed0ad6b61ac3fd0dc1a6911c83_0_1 2,3,29,8,14,31,21
1969c7cb5c5786da0b46812c039e05f7_0_71 22,8,20,11
ea4e74726c3867f77ed2399fd2c7d5ac_0_46 25,9
cec0695b389f5e51d87d847d08383473_0_3 29,3
cd1c0ed98f1b2393de4fab2080ae3e1a_0_0 18,30,10,29,3,8
d2dffba21c9f6d977b79ddb6b49390d0_0_15 9,30
5dc5c9b0c9b683212a1754eed2eefacb_0_3 3,16
fa987cc729e9f5606b626a29b1fa5d47_0_12 3,21,31,29,14,10,8,7,2,18
aa955b8f03a5c0edc7466d4e7ada1df0_0_2 8,29
c73738c8866160c78b70cb3bea4d2d97_1_6 8,11,20,22
2abf2e4883f0be0647647dec0708c65f_0_0 31,22,29,18,14,11,8,20
63820495873719115ed4f868ba5b2424_0_1 2,3,21,29,8,18
4807d30bd849a94bda4e8fc6afa64aa6_0_2 8,11,3,16,20,18,14,31
f32aaa38abc1b4df56139713b4b9b8c5_0_3 3,16
350cd6ac74d038677559645023d4856a_0_3 9
fae28686f9e72c274bef08fc57fc9c94_0_0 8,11,20
fc3aee5b9a044715662ae3913c560007_0_10 9,23
4b45dd8670198ea965078d7274dac279_0_0 29,7,8
feb7a3ace51ea6bcd38a88b28380f261_0_0 8,29,3,16
6f4f2639549c0e198b22a2575ab04d1c_0_3 18,20,16,11,8,3
9946da6f2d545706365d68bb953c1049_0_6 1,26
7b6f452b5e027793868d39f9d7be9fa1_0_2 20,8,9,30,11
80bfd72286362590c488f6c1051c3df1_0_0 9,0,28,26,13
01503046d91c5912950da9b2ec26fa6c_0_5 9
9c3975bc3215471c180cc74dbe194f30_0_54 7,15,16,3,29,8,30,14,18,31
ad6bf1b5c3e27d5d85594fdfaddd0c6f_0_35 6,19
b32c63b8f9e936462dbae7665dc30b53_0_5 18,8
7b28093e2b562a6e076bbd469c80310f_0_0 9
cb2364aa09c8df81b377f14e9ff6fff2_0_130 30,8,18
a0968d6777b86adca2ac9982e7f8eb5b_0_0 8,31,14,29
789574f9189f889b6bf9c18f12240fc9_0_27 20,8,2,22,14,11,31,18,21,29
cac4425a2854c8d039b226d9c2feff79_1_5 3,16
8c4da6af0bf6e6347c0318ab89134c92_1_1 3,7,29
762a50dcbb4f303769e7a7f6bf6fd5aa_0_15 18,8,9
a7235aad87ec71b59add171da7b8de1b_0_0 31,7,29,14,3
f42702edb4e0104b09af9d7c5d102a5f_0_49 11,18,20,5,8
8fd908075d296950802bb4285d7e9b75_0_4 18,8
42ba7fd03470ad5079e2504cfccea660_0_9 17,9
b09c572407913d9f5f9509e9d1b06394_0_1 8
1d11e4ca95eaa807a39c2ff25e14b994_0_90 26,0,9
7ee20ab5460d5fa267ddfd23091470ed_0_2 3,8,30,29,7,9
0ba2f5632d1d7dcad41fc681ba479f56_0_5 9,23
d1519488eb08c763534546b82619a6f6_0_1 22,20,18,8,11
c2cee5df6e77502ace1fed0d580bfbd1_0_2 14,3,10,29,31,7
0ba2f5632d1d7dcad41fc681ba479f56_0_2 20,21,27,11,22,8,29,16,2,3,18
5a23e094a2fc9bc26e6eabc01babbc7e_0_2 3,7,16
60dd65596feac3b114226249662eb205_0_3 3,16
fee9b8e8c39c7551cc68c4ee3c48437c_0_4 9
9824effc7f5c1bfdeffd0a42f2c5a214_0_7 29,8,2,3,21
d9e00b962e68fe8a3570109c600df6bf_0_233 3,16
8991ed13cdf9e304988142fd11a25198_0_2 8,14,31,29
efe5055b8e6288441ab4f236b21b3ffe_0_54 9,23
936c0de9e66279cefb2fb4c3b588ce5e_0_0 3,29,16,8,31,14,11,20,18
5c19e9f7e24add306e6c1eeae3f7b3c8_0_44 26,9,0
e65d3cd86830234298c399dfc91f51b8_0_2 30,31,14,8
